Parish and Constituency,Total Children,% affectation expected HUR (50kt),Affected Children,Child poverty rates (%),CHIN
Total,845815.0,,35483.0,24.439240306860714,8672.0
Clarendon,83314.0,2.085142514855373,1738.0,35.72465599149463,632.0
Hanover,23921.0,15.102280297454577,3613.0,27.007555220097913,850.0
Kingston,25544.0,0.0,0.0,28.18292925187028,0.0
Manchester,57745.0,1.0837935134012162,626.0,28.161972515830485,262.0
Portland,25172.0,0.7598164617995316,192.0,38.59908435605395,57.0
Saint Andrew,160342.0,0.06387836334657196,103.0,35.58458201636874,78.0
Saint Ann,56286.0,5.355241130984093,3015.0,30.609188537021755,782.0
Saint Catherine,166938.0,1.6010482666057344,2673.0,26.003325910821562,622.0
Saint Elizabeth,47222.0,5.611393933997249,2650.0,35.80267057512742,951.0
Saint James,60225.0,20.821913035485746,12540.0,20.576180999840695,2122.0
Saint Mary,36459.0,2.900209164172297,1058.0,35.93966214654448,287.0
Saint Thomas,29478.0,0.5210481387818938,154.0,40.07269734279119,46.0
Trelawny,24619.0,11.859201534569573,2920.0,30.655974207294527,795.0
Westmoreland,48558.0,8.662874554142942,4207.0,30.682212888873128,1195.0
