parish,total_tiles,poor_children,potentially_impacted_poor_children_34kt,potentially_impacted_poor_children_50kt,potentially_impacted_poor_children_64kt
Clarendon,240,28941.82197503023,10009,627,259
Hanover,100,6696.597424541033,4233,880,281
Kingston,4,8358.242342373338,1839,0,0
Manchester,159,15900.989844242753,5051,285,34
Portland,171,9852.263767376033,2271,49,2
Saint Andrew,94,55897.63066882138,12325,47,0
Saint Ann,240,16753.15323711621,7294,727,6
Saint Catherine,239,43497.38158088296,11083,629,143
Saint Elizabeth,235,17071.708797753836,7678,952,190
Saint James,119,13383.074042262178,8434,2298,500
Saint Mary,131,13008.995541748998,4172,276,0
Saint Thomas,157,12230.614011079118,3401,49,0
Trelawny,170,7418.234654768803,3371,736,127
Westmoreland,165,14746.265434819386,7271,1197,435
