parish,total_tiles,poor_children,potentially_impacted_poor_children_34kt,potentially_impacted_poor_children_50kt,potentially_impacted_poor_children_64kt
Clarendon,240,29632.124165766676,10255,642,273
Hanover,100,6401.894383102672,4033,834,269
Kingston,4,6909.3752137107385,1520,0,0
Manchester,159,15894.33365841025,5030,281,34
Portland,171,9733.22947616351,2251,55,2
Saint Andrew,94,57346.497797478594,12662,85,0
Saint Ann,240,16957.240341691246,7431,753,7
Saint Catherine,239,43660.1867528975,11125,621,142
Saint Elizabeth,235,17668.82734750502,8102,1003,203
Saint James,119,12231.768706704679,7606,2027,445
Saint Mary,131,12944.348708464784,4173,281,0
Saint Thomas,157,12058.417823336264,3360,50,0
Trelawny,170,7504.77880113042,3417,765,135
Westmoreland,165,14813.950146453986,7301,1195,430
